scenario_method_id,scenario_id,method_id,selection_rank,candidate_site_id,country_code,nuts_id,site_type,baseline_rank_within_scenario,baseline_score,c_j,allowed_use_note,proxy_assumption_label
scenario:radius-aggressive|method:mclp-shortlist-exact,scenario:radius-aggressive,method:mclp-shortlist-exact,1,candidate:osm:node:25213823,FR,FR101,fuel,1,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,1,candidate:osm:node:667281517,FR,FR101,fuel,4,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,2,candidate:osm:node:1629427781,BE,BE232,fuel,92,0.46495,580000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,3,candidate:osm:node:301460793,DE,DE12B,fuel,132,0.450223,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,4,candidate:osm:node:428839243,DE,DE126,fuel,188,0.430834,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,5,candidate:osm:node:359130093,BE,BE224,fuel,272,0.413637,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,6,candidate:osm:node:435231982,DE,DE218,fuel,441,0.393505,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,7,candidate:osm:node:259042228,DE,DE149,fuel,901,0.337808,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,8,candidate:osm:node:732712509,DE,DE11C,fuel,968,0.32945,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,9,candidate:osm:node:266557353,DE,DE133,fuel,1359,0.292781,580000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:mclp-pulp-cbc,scenario:radius-aggressive,method:mclp-pulp-cbc,10,candidate:osm:way:370170888,DE,DE219,services,1740,0.253607,850000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-aggressive|method:min-cost-coverage-pulp,scenario:radius-aggressive,method:min-cost-coverage-pulp,1,candidate:osm:node:25213823,FR,FR101,fuel,1,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,1,candidate:osm:node:25214653,FR,FR101,fuel,1,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,2,candidate:osm:node:309654919,FR,FR101,fuel,2,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,3,candidate:osm:node:320203219,FR,FR101,fuel,3,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,4,candidate:osm:node:255003455,FR,FR101,fuel,4,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,5,candidate:osm:node:259284911,FR,FR101,fuel,5,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,6,candidate:osm:node:262276013,FR,FR101,fuel,6,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,7,candidate:osm:node:267652178,FR,FR101,fuel,7,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,8,candidate:osm:node:307372951,FR,FR101,fuel,8,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,9,candidate:osm:node:315123765,FR,FR101,fuel,9,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:baseline-topk,scenario:radius-base,method:baseline-topk,10,candidate:osm:node:652862411,FR,FR101,fuel,10,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:mclp-shortlist-exact,scenario:radius-base,method:mclp-shortlist-exact,1,candidate:osm:node:25214653,FR,FR101,fuel,1,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,1,candidate:osm:way:901643395,FR,FR101,services,13,0.735,850000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,2,candidate:osm:node:302017504,BE,BE32C,fuel,27,0.484544,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,3,candidate:osm:node:30503337,DE,DE21C,fuel,71,0.436416,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,4,candidate:osm:node:135510729,BE,BE213,fuel,88,0.426317,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,5,candidate:osm:node:476758057,DE,DE126,fuel,177,0.394946,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,6,candidate:osm:node:244746279,DE,DE113,fuel,216,0.384897,580000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,7,candidate:osm:node:6241640958,BE,BE257,fuel,415,0.345555,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,8,candidate:osm:node:25241985,DE,DE123,fuel,567,0.319494,580000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,9,candidate:osm:node:261157800,DE,DE118,fuel,574,0.318402,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:mclp-pulp-cbc,scenario:radius-base,method:mclp-pulp-cbc,10,candidate:osm:node:2735095491,BE,BE334,fuel,626,0.309673,580000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-base|method:min-cost-coverage-pulp,scenario:radius-base,method:min-cost-coverage-pulp,1,candidate:osm:node:320203219,FR,FR101,fuel,3,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,1,candidate:osm:node:25213823,FR,FR101,fuel,1,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,2,candidate:osm:node:25214653,FR,FR101,fuel,2,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,3,candidate:osm:node:309654919,FR,FR101,fuel,3,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,4,candidate:osm:node:471629646,FR,FR101,fuel,4,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,5,candidate:osm:node:625171506,FR,FR101,fuel,5,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,6,candidate:osm:node:648114671,FR,FR101,fuel,6,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,7,candidate:osm:node:259284911,FR,FR101,fuel,7,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,8,candidate:osm:node:262276013,FR,FR101,fuel,8,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,9,candidate:osm:node:307372951,FR,FR101,fuel,9,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:baseline-topk,scenario:radius-conservative,method:baseline-topk,10,candidate:osm:node:605504117,FR,FR101,fuel,10,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:mclp-shortlist-exact,scenario:radius-conservative,method:mclp-shortlist-exact,1,candidate:osm:node:25213823,FR,FR101,fuel,1,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,1,candidate:osm:node:307372951,FR,FR101,fuel,9,0.785,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,2,candidate:osm:node:17983325,DE,DE21H,fuel,22,0.419698,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,3,candidate:osm:node:303553919,BE,BE100,fuel,30,0.390143,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,4,candidate:osm:node:134571762,DE,DE115,fuel,70,0.358,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,5,candidate:osm:node:253665120,BE,BE212,fuel,74,0.351701,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,6,candidate:osm:node:290633726,DE,DE125,fuel,126,0.317283,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,7,candidate:osm:node:457067417,BE,BE335,fuel,173,0.302827,560000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,8,candidate:osm:node:26085208,DE,DE123,fuel,785,0.256471,590000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,9,candidate:osm:node:417304088,DE,DE141,fuel,885,0.251161,590000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:mclp-pulp-cbc,scenario:radius-conservative,method:mclp-pulp-cbc,10,candidate:osm:node:321618095,BE,BE310,fuel,899,0.250346,590000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
scenario:radius-conservative|method:min-cost-coverage-pulp,scenario:radius-conservative,method:min-cost-coverage-pulp,1,candidate:osm:node:471629646,FR,FR101,fuel,4,0.81,550000.0,Selected by optimization checkpoint for diligence prioritization only.,tile_smoke_optimization_selected_site_not_investment_grade
