weight_set_id,weight_set_name,scenario_id,candidate_site_id,country_code,nuts_id,site_type,coverage_radius_km,coverage_weight,data_quality_weight,risk_weight,competition_weight,weighted_score,rank_within_weight_set_scenario,base_rank_within_scenario,rank_delta_vs_base,stable_top10_flag,top_rank_band,allowed_use_note,proxy_assumption_label,candidate_short_id
weights:coverage-led,Coverage led,scenario:radius-base,candidate:osm:way:161640937,DE,DE128,services,30,0.7,0.1,0.1,0.1,0.27835,489,731,-242,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:161640937
weights:risk-aware,Risk aware,scenario:radius-base,candidate:osm:way:161640937,DE,DE128,services,30,0.45,0.15,0.3,0.1,0.340368,661,731,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:161640937
weights:competition-aware,Competition aware,scenario:radius-base,candidate:osm:way:161640937,DE,DE128,services,30,0.45,0.15,0.15,0.25,0.340368,661,731,-70,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:161640937
weights:data-quality-guardrail,Data quality guardrail,scenario:radius-base,candidate:osm:way:161640937,DE,DE128,services,30,0.45,0.35,0.1,0.1,0.300368,1373,731,642,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:161640937
weights:base,Base balanced,scenario:radius-base,candidate:osm:way:518612582,DE,DE123,services,30,0.55,0.2,0.15,0.1,0.309813,623,623,0,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:518612582
weights:coverage-led,Coverage led,scenario:radius-base,candidate:osm:way:518612582,DE,DE123,services,30,0.7,0.1,0.1,0.1,0.288852,444,623,-179,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:518612582
weights:risk-aware,Risk aware,scenario:radius-base,candidate:osm:way:518612582,DE,DE123,services,30,0.45,0.15,0.3,0.1,0.347119,600,623,-23,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:518612582
weights:competition-aware,Competition aware,scenario:radius-base,candidate:osm:way:518612582,DE,DE123,services,30,0.45,0.15,0.15,0.25,0.347119,600,623,-23,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:518612582
weights:data-quality-guardrail,Data quality guardrail,scenario:radius-base,candidate:osm:way:518612582,DE,DE123,services,30,0.45,0.35,0.1,0.1,0.307119,1277,623,654,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:518612582
weights:base,Base balanced,scenario:radius-base,candidate:osm:way:518612583,DE,DE123,services,30,0.55,0.2,0.15,0.1,0.309813,624,624,0,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:518612583
weights:coverage-led,Coverage led,scenario:radius-base,candidate:osm:way:518612583,DE,DE123,services,30,0.7,0.1,0.1,0.1,0.288852,445,624,-179,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:518612583
weights:risk-aware,Risk aware,scenario:radius-base,candidate:osm:way:518612583,DE,DE123,services,30,0.45,0.15,0.3,0.1,0.347119,601,624,-23,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:518612583
weights:competition-aware,Competition aware,scenario:radius-base,candidate:osm:way:518612583,DE,DE123,services,30,0.45,0.15,0.15,0.25,0.347119,601,624,-23,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:518612583
weights:data-quality-guardrail,Data quality guardrail,scenario:radius-base,candidate:osm:way:518612583,DE,DE123,services,30,0.45,0.35,0.1,0.1,0.307119,1278,624,654,0,Longlist,Sensitivity test for diligence prioritization only; not a full pilot rollout recommendation.,tile_smoke_baseline_sensitivity_not_investment_grade,way:518612583
